name,country,continent,unesco_id,inception_year,inscription_year,heritage_criteria,official_website,wikidata_item,lon,lat
Mengening Temple,Indonesia,Asia,1194,,2012,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038979;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q66582204,115.31202518,-8.420021687
Menin Gate,Belgium,Europe,,,2023,,,http://www.wikidata.org/entity/Q1822397,2.891070409,50.852053275
Monasteries on the slopes of Popocatépetl,Mexico,North America,702,,1994,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q1141009,-98.89778,18.93472
Mont-Saint-Michel and its Bay,France,Europe,80ter,,1979,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q17117964,-1.51056,48.63556
Mount Athos,Greece,Europe,454,,1988,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038979;http://www.wikidata.org/entity/Q23038980;http://www.wikidata.org/entity/Q23038981,,http://www.wikidata.org/entity/Q136100444,24.327222222,40.158333333
Mozu-Furuichi Kofun Group: Mounded Tombs of Ancient Japan,Japan,Asia,1593,,2019,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,https://www.mozu-furuichi.jp/,http://www.wikidata.org/entity/Q55524104,135.6094,34.5622
Museu Historico de Sergipe,Brazil,South America,,,,,,http://www.wikidata.org/entity/Q56200323,-37.2054064,-11.0142196
Museum of Sacred Art,Brazil,South America,,,,,http://www.museus.gov.br/os-museus/museus-ibram/,http://www.wikidata.org/entity/Q56694099,-50.139734745,-15.934899764
Museum of the Bamoun Kings,Cameroon,Africa,,,,,,http://www.wikidata.org/entity/Q125208063,10.901576734,5.732688873
Mushroom Square,Brazil,South America,,,1987,,,http://www.wikidata.org/entity/Q116089398,-47.905288888,-15.814833055
Nahal Me'arot Nature Reserve,Israel,Asia,1393,,2012,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q1443478,34.96527778,32.67
Namib Sand Sea,Namibia,Africa,1430,,2013,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038983;http://www.wikidata.org/entity/Q23038985;http://www.wikidata.org/entity/Q23038986,,http://www.wikidata.org/entity/Q65241628,15.407777777,-24.885277777
Naqsh-e Jahan Square,Iran,Asia,115,,1979,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038979;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q4519,51.677333333,32.658222222
neighborhood unit 107/307 and 108/308 South,Brazil,South America,,,1987,,,http://www.wikidata.org/entity/Q97626914,-47.904185,-15.814971
Neolithic flint mines of Spiennes,Belgium,Europe,1006,,2000,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,http://www.minesdespiennes.org,http://www.wikidata.org/entity/Q677879,3.982575,50.419988888
Neuve-Chapelle Indian Memorial,France,Europe,,,2023,,,http://www.wikidata.org/entity/Q2917267,2.77513,50.575103
Niah National Park,Malaysia,Asia,1014,1950,2024,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038979,https://niahnationalpark.my/,http://www.wikidata.org/entity/Q1984562,113.781389,3.813889
Nieuport Memorial,Belgium,Europe,,,2023,,,http://www.wikidata.org/entity/Q13528892,2.75563,51.13696
Ningaloo Reef,Australia,Oceania,1369,,2011,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038986,,http://www.wikidata.org/entity/Q1541665,113.628,-22.739
Novodevichy Convent,Russia,Europe,1097,,2004,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,https://novodev.msk.ru/,http://www.wikidata.org/entity/Q270725,37.556583333,55.725972222
Noyelles-sur-Mer Chinese Memorial,France,Europe,,,2023,,,http://www.wikidata.org/entity/Q2566225,1.722666,50.186076
Núcleo Arqueológico de Habitat Paleolítico do Salto do Boi/Cardina,Portugal,Europe,866-013,,1998,,,http://www.wikidata.org/entity/Q66814065,-7.099282,40.980523
Núcleo de arte rupestre da Canada da Moreira,Portugal,Europe,,,1998,,,http://www.wikidata.org/entity/Q66814089,-7.065543,41.025271
Núcleo de arte rupestre da Canada do Amendoal,Portugal,Europe,,,1998,,,http://www.wikidata.org/entity/Q66814095,-7.099086,41.077983
Núcleo de arte rupestre da Foz do Côa,Portugal,Europe,,,1998,,,http://www.wikidata.org/entity/Q66814092,-7.101563,41.085251
Núcleo de arte rupestre da Vermelhosa,Portugal,Europe,,,1998,,,http://www.wikidata.org/entity/Q66814091,-7.100152,41.084158
Núcleo de arte rupestre de Vale de Cabrões,Portugal,Europe,,,1998,,,http://www.wikidata.org/entity/Q66814090,-7.115415,41.09398
Núcleo de arte rupestre de Vale do Forno,Portugal,Europe,,,1998,,,http://www.wikidata.org/entity/Q66814096,-7.109308,41.073183
Núcleo de arte rupestre do Alto da Bulha,Portugal,Europe,,,1998,,,http://www.wikidata.org/entity/Q66814094,-7.107048,41.005184
Núcleo de arte rupestre do Vale de José Esteves,Portugal,Europe,,,1998,,,http://www.wikidata.org/entity/Q66814093,-7.11731,41.031437
Old City of Bern,Switzerland,Europe,267,,1983,http://www.wikidata.org/entity/Q23038977,https://weltkulturerbebern.ch,http://www.wikidata.org/entity/Q687973,7.450277777,46.948055555
Old City of Jerusalem and its Walls,Israel,Asia,148rev,,1981,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q15726304,35.23191,31.778214
Old Protestant Cemetery,People's Republic of China,Asia,1110,,,,,http://www.wikidata.org/entity/Q3504601,113.54019722,22.19989722
Old Protestant Chapel and Cemetery (Macau),People's Republic of China,Asia,1110,,,,,http://www.wikidata.org/entity/Q9696155,113.540197222,22.199897222
Old town of Corfu,Greece,Europe,978,,2007,http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q38283757,19.92193,39.624658
old town of Cáceres,Spain,Europe,384,,1986,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q9757828,-6.37,39.47416667
Old Town of Galle and its Fortifications,Portuguese Empire,Europe,451,,1988,http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q15830652,80.21861111,6.021388889
Old Towns of Djenné,Mali,Africa,116rev,,1988,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q15278644,-4.555,13.90639
Osun-Osogbo Grove,Nigeria,Africa,1118,,2005,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q621498,4.552222222,7.755555555
Our Lady of Promise,Serbia,Europe,724-003bis,,2004,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q890652,20.735833333,42.211388888
Palace of Mafra,Portugal,Europe,,,2019,http://www.wikidata.org/entity/Q23038978,http://www.palaciomafra.pt,http://www.wikidata.org/entity/Q599223,-9.326395,38.936922
Pampulha art museum,Brazil,South America,,,1997,,http://belohorizonte.mg.gov.br/local/atrativos-turisticos/culturais-lazer/museu-de-arte-da-pampulha,http://www.wikidata.org/entity/Q3890034,-43.973722222,-19.851833333
Pampulha Modern Ensemble,Brazil,South America,1493,,2016,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q9850285,-43.973611111,-19.851944444
Paphos,Cyprus,Europe,79,,1980,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q64433741,32.40556,34.75833
Pasargadae,Iran,Asia,1106,,2004,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q230025,53.179444444,30.2
Penascosa,Portugal,Europe,866-007,,1998,,,http://www.wikidata.org/entity/Q64686794,-7.099904,40.986382
Persepolis,Iran,Asia,114,1621,1979,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,https://persepolis.ir,http://www.wikidata.org/entity/Q129072,52.89,29.935
Persian Qanat,Iran,Asia,1506,,2016,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q25998008,58.654444444,34.29
Petroglyphs of Lake Onega and the White Sea,Russia,Europe,1654,,2021,http://www.wikidata.org/entity/Q23038977,,http://www.wikidata.org/entity/Q64808630,36.012639,61.7299
Pilot Plan of Brasília,Brazil,South America,445,,1987,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q3391360,-47.882777777,-15.793888888
Pimachiowin Aki,Canada,North America,1415rev,,2018,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980;http://www.wikidata.org/entity/Q23038985,,http://www.wikidata.org/entity/Q7194595,-95.0,51.0
Ploegsteert Memorial to the Missing,Belgium,Europe,,,2023,,,http://www.wikidata.org/entity/Q2872987,2.88208,50.73767
porticoes of Bologna,Italy,Europe,1650,,2021,http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q3909051,11.332777777,44.491388888
Pozieres Memorial,France,Europe,,,2023,,,http://www.wikidata.org/entity/Q3059864,2.714829,50.034499
Prambanan Temple,Indonesia,Asia,642,,1991,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038978,http://www.borobudurpark.com/prambanan.php,http://www.wikidata.org/entity/Q47721,110.49122,-7.752
Prehistoric Rock Art Sites in the Côa Valley,Portugal,Europe,866,,1998,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038977,http://www.arte-coa.pt/,http://www.wikidata.org/entity/Q552106,-7.11666667,41.03333333
Prehistoric Sites and Decorated Caves of the Vézère Valley,France,Europe,85,,1979,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038977,,http://www.wikidata.org/entity/Q463159,1.17,45.0575
Prehistoric Sites of the Khorramabad Valley,Iran,Asia,1744,,,http://www.wikidata.org/entity/Q23038977,,http://www.wikidata.org/entity/Q135274656,48.345555555,33.492222222
Purnululu National Park,Australia,Oceania,1094,,2003,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038983,http://parks.dpaw.wa.gov.au/park/purnululu,http://www.wikidata.org/entity/Q679568,128.546055,-17.448789
Putorana Plateau,Russia,Europe,1234,,2010,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038985,http://www.plato-putoran.by.ru,http://www.wikidata.org/entity/Q277576,93.0,69.0
Q111922007,Brazil,South America,,,1987,,,http://www.wikidata.org/entity/Q111922007,-47.905209,-15.813693
Q116089756,Brazil,South America,,,1987,,,http://www.wikidata.org/entity/Q116089756,-47.906157141,-15.814425036
Q131764534,Spain,Europe,,,,,,http://www.wikidata.org/entity/Q131764534,-1.400555555,40.394722222
Q18405795,Russia,Europe,1070,,,,,http://www.wikidata.org/entity/Q18405795,48.295833333,42.069166666
Q97626839,Brazil,South America,,,1987,,,http://www.wikidata.org/entity/Q97626839,-47.904871,-15.812742
Qal’at al Bahrain,Bahrain,Asia,1192ter,,2005,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q740104,50.520555555,26.233611111
Qazan Kremlin,Russia,Europe,980,,2000,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q603622,49.10724,55.797442
Quinta da Barca,Portugal,Europe,866-008,,1998,,,http://www.wikidata.org/entity/Q64686795,-7.1008,40.9856
Quinta da Ervamoira,Portugal,Europe,866-009,,1998,,,http://www.wikidata.org/entity/Q64686796,-7.1053,41.02
Quinta do Fariseu,Portugal,Europe,866-010,,1998,,,http://www.wikidata.org/entity/Q64686797,-7.108801,41.041117
Qutb complex,India,Asia,233,,1993,http://www.wikidata.org/entity/Q23038978,http://delhitourism.gov.in/delhitourism/tourist_place/qutab_minar.jsp,http://www.wikidata.org/entity/Q1074330,77.18543,28.524382
Rachid Karami International Fair,Lebanon,Asia,1702,,2023,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q116448209,35.825911341,34.439613877
Renato Russo Cultural Center,Brazil,South America,,,1987,,,http://www.wikidata.org/entity/Q10274951,-47.90575435,-15.812886391
Ribeira de Piscos / Quinta dos Poios,Portugal,Europe,866-011,,1998,,,http://www.wikidata.org/entity/Q64686798,-7.1169,41.0181
Ribeirinha,Portugal,Europe,866-012,,1998,,,http://www.wikidata.org/entity/Q64686800,-7.102788,40.99199
Rideau Canal World Heritage Site,Canada,North America,1221,,2007,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q18087815,-75.765125,44.994386111
Rock Paintings of Hua Mountain,People's Republic of China,Asia,1508,,2016,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q1632877,107.042276,22.248327
Royal Building of Mafra,Portugal,Europe,1573,,2019,http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q54948065,-9.326395,38.936922
Royal Domain of Drottningholm,Sweden,Europe,559,,1991,http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q28246887,17.886380555,59.321688888
Rua da Sofia (Coimbra),Portugal,Europe,,,2013,,,http://www.wikidata.org/entity/Q40215441,-8.430607,40.212935
Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,Tanzania,Africa,144,,1981,http://www.wikidata.org/entity/Q23038977,,http://www.wikidata.org/entity/Q15726282,39.52277778,-8.95777778
Ruins of St. Paul's,People's Republic of China,Asia,1110,,,,http://www.wh.mo/cn/site/detail/18,http://www.wikidata.org/entity/Q1551411,113.54086,22.197468
Sado Island Gold Mines,Japan,Asia,1698,,2024,http://www.wikidata.org/entity/Q23038978,https://www.sado-goldmine.jp/,http://www.wikidata.org/entity/Q127378385,138.257777777,38.040833333
Saint Sophia Cathedral,Ukraine,Europe,527-001,,1990,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,https://st-sophia.org.ua/en/home/,http://www.wikidata.org/entity/Q830054,30.514444444,50.452777777
Saloum Delta,Senegal,Africa,1359,,2011,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q559363,-16.498611111,13.835277777
Sammallahdenmäki,Finland,Europe,579,,1999,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q239748,21.7751687,61.11767375
San Agustin archeological park,Colombia,South America,744,,1995,http://www.wikidata.org/entity/Q23038977,https://www.icanh.gov.co/parques-icanh/parque-arqueologico-san-agustin,http://www.wikidata.org/entity/Q2887224,-76.2333,1.91667
Sanctuary of Bom Jesus de Matosinhos,Brazil,South America,334,,1985,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q1595417,-43.860694444,-20.507777777
Sangiran,Indonesia,Asia,593,,1996,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q842328,110.85,-7.45
Santa Casa da Misericórdia,People's Republic of China,Asia,1110,,,,,http://www.wikidata.org/entity/Q4310094,113.54027778,22.19361111
Santa Clara Church,Peru,South America,,,,,,http://www.wikidata.org/entity/Q42828387,-71.982094,-13.520018
Serra da Capivara National Park,Brazil,South America,606,,1991,http://www.wikidata.org/entity/Q23038977,,http://www.wikidata.org/entity/Q267394,-42.55,-8.6667
Settlement and Artificial Mummification of the Chinchorro Culture in the Arica and Parinacota Region,Chile,South America,1634,,2021,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q108096731,-70.322,-18.482
Shark Bay,Australia,Oceania,578,,1991,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038983;http://www.wikidata.org/entity/Q23038985;http://www.wikidata.org/entity/Q23038986,,http://www.wikidata.org/entity/Q38167074,113.604655,-25.92897
Sheikh Safi al-Din Khānegāh and Shrine Ensemble,Iran,Asia,1345,,2010,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q4243,48.291388888,38.248611111
Shrines and Temples of Nikkō,Japan,Asia,913,,1999,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,http://www.city.nikko.lg.jp/kanko/rekishi/shaji/,http://www.wikidata.org/entity/Q1063133,139.6105556,36.7475
Shushtar Historical Hydraulic System,Iran,Asia,1315,,2009,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038979,https://swhb.ir/,http://www.wikidata.org/entity/Q2274974,48.848687,32.053723
"Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining",Japan,Asia,1484,,2015,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,http://www.japansmeijiindustrialrevolution.com/,http://www.wikidata.org/entity/Q7751872,131.4122222,34.43055556
Solovetsky Islands,Russia,Europe,632,,1992,,,http://www.wikidata.org/entity/Q205711,35.710556,65.024444
Sosu Seowon,South Korea,Asia,1498-001,,2019,,,http://www.wikidata.org/entity/Q625586,128.58,36.92555556
St Lawrence's Church,People's Republic of China,Asia,1110,,,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q3271236,113.5368056,22.19069444
St. Anthony's Church,People's Republic of China,Asia,1110,,,,,http://www.wikidata.org/entity/Q6730196,113.539452777,22.198961111
St. Augustine's Church,People's Republic of China,Asia,1110,,,,,http://www.wikidata.org/entity/Q4587786,113.538274,22.192204
St. Dominic's Church,People's Republic of China,Asia,1110,,,,,http://www.wikidata.org/entity/Q4130614,113.54036,22.19483
St. Joseph's Seminary and Church,People's Republic of China,Asia,1110,,,,,http://www.wikidata.org/entity/Q4579079,113.537,22.1919
Statue of Liberty,United States,North America,,,1984,,http://www.nps.gov/stli/index.htm,http://www.wikidata.org/entity/Q9202,-74.044425277,40.689209166
Stonehenge,United Kingdom,Europe,373,,,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977,https://www.english-heritage.org.uk/stonehenge,http://www.wikidata.org/entity/Q39671,-1.826111111,51.178888888
streets in Cusco,Peru,South America,,,,,,http://www.wikidata.org/entity/Q42826974,-71.978794,-13.516748
Struve Geodetic Arc,Moldova,Europe,1187,,2005,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q192243,25.649444444,52.289444444
Sydney Opera House,Australia,Oceania,166rev,,2007,http://www.wikidata.org/entity/Q23038972,https://sydneyoperahouse.com,http://www.wikidata.org/entity/Q45178,151.214897,-33.857058
Syracuse and the Rocky Necropolis of Pantalica,Italy,Europe,1200,,2005,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q15604441,15.29306,37.05944
São Francisco Square,Brazil,South America,1272rev,,2010,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q7214285,-37.20555556,-11.01361111
Sítio Roberto Burle Marx,Brazil,South America,1620,,2021,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,https://sitioburlemarx.org/,http://www.wikidata.org/entity/Q56695607,-43.54474,-23.02385
Tabriz Bazaar,Iran,Asia,1346,,2010,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q4399,46.292286111,38.080772222
Taj Mahal,India,Asia,252,,,http://www.wikidata.org/entity/Q23038972,https://www.tajmahal.gov.in/,http://www.wikidata.org/entity/Q9141,78.041944444,27.175
Takht-e Soleyman,Iran,Asia,1077,,2003,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q115253,47.234166666,36.604722222
Tarnowskie Góry Lead-Silver-Zinc Mine and its Underground Water Management System,Poland,Europe,1539,,2017,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q48841031,18.85123,50.4427
Temple of Anahita at Bishapur,Iran,Asia,,,2018,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q5866947,51.5756862,29.7800335
Teotihuacan,Mexico,North America,414,,1987,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,https://www.inah.gob.mx/zonas/23-zona-arqueologica-de-teotihuacan,http://www.wikidata.org/entity/Q172613,-98.843888888,19.6925
The Cosmological Axis of Yogyakarta and its Historic Landmarks,Indonesia,Asia,1671,,2023,,https://www.jogjaworldheritage.com/,http://www.wikidata.org/entity/Q96012243,110.3647778,-7.8013889
The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,Greece,Europe,942,,1999,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q17132271,26.55,37.3
The Tomioka Silk Mill and Related Industrial Heritage,Japan,Asia,1449,,2014,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,https://worldheritage.pref.gunma.jp/tomikinu/index.php/zhtw/,http://www.wikidata.org/entity/Q7769551,138.888,36.2553
Thiepval Memorial,France,Europe,,,2023,,,http://www.wikidata.org/entity/Q1861419,2.685833333,50.050555555
Tiya archaeological site,Ethiopia,Africa,12,,1980,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q6130080,38.61211111,8.43491667
Torre de San Martín,Spain,Europe,378-003,,1986,,,http://www.wikidata.org/entity/Q7826989,-1.10933,40.3443
Tower of Iglesia de San Salvador,Spain,Europe,378-002,,1986,,,http://www.wikidata.org/entity/Q3896939,-1.108090767,40.342095637
Town Hall and Roland on the Marketplace of Bremen,Germany,Europe,1087,,2004,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q15238169,8.807472222,53.07597222
Trinity Lavra of St. Sergius,Russia,Europe,657,,1993,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,https://stsl.ru/languages/en/,http://www.wikidata.org/entity/Q211962,38.13065,56.31035
Tyne Cot Memorial,Belgium,Europe,,,2023,,,http://www.wikidata.org/entity/Q15991782,3.00067,50.88745
Uluṟu-Kata Tjuṯa National Park,Australia,Oceania,447rev,,1987,http://www.wikidata.org/entity/Q23038979;http://www.wikidata.org/entity/Q23038980;http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038983,https://parksaustralia.gov.au/uluru/index.html,http://www.wikidata.org/entity/Q251999,130.985732,-25.322076
Universidade de Coimbra – Alta e Sofia,Portugal,Europe,1387,,2013,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q15229957,-8.425775,40.20781111
Upper German-Raetian Limes,Germany,Europe,430-001,,1987,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q17374397,9.1575,49.796388888
Urnes Stave Church,Norway,Europe,58,,1979,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977,http://www.fortidsminneforeningen.no/properties/56/98,http://www.wikidata.org/entity/Q210678,7.3225,61.298055555
V.C. Corner Australian Cemetery and Memorial,France,Europe,,,2023,,,http://www.wikidata.org/entity/Q2040499,2.83367,50.61957
Vale de Figueira / Teixugo,Portugal,Europe,866-014,,1998,,,http://www.wikidata.org/entity/Q64686803,-7.16754,41.036383
Vale de Moinhos,Portugal,Europe,866-015,,1998,,,http://www.wikidata.org/entity/Q64686804,-7.109336,41.074741
Vale de Namoradas,Portugal,Europe,866-016,,1998,,,http://www.wikidata.org/entity/Q64686805,-7.0853,41.0353
Valerian Palace,Iran,Asia,,,2018,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q5686125,51.5772211,29.7800119
Valmayor V,Spain,Europe,874-661,,1998,,,http://www.wikidata.org/entity/Q56702873,0.1559,41.3065
Valongo Wharf,Brazil,South America,1548,2011,2017,http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q20048515,-43.187394,-22.897111
Verla,Finland,Europe,751,,1996,http://www.wikidata.org/entity/Q23038978,http://www.verla.fi/,http://www.wikidata.org/entity/Q217447,26.640016,61.061992
Viking Age Ring Fortresses,Denmark,Europe,1660,,2023,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q64518271,11.265277777,55.394166666
Villers–Bretonneux Australian National Memorial,France,Europe,,,2023,,,http://www.wikidata.org/entity/Q2544355,2.51291,49.887008
Virgin Komi Forests,Russia,Europe,719,,1995,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038985,http://www.vfk.komi.com,http://www.wikidata.org/entity/Q593870,60.15,65.06666667
Visoki Dečani,Serbia,Europe,724-001,,2004,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,https://www.decani.org,http://www.wikidata.org/entity/Q849517,20.266388888,42.546944444
Volcanoes of Kamchatka,Russia,Europe,765,,1996,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038983;http://www.wikidata.org/entity/Q23038985;http://www.wikidata.org/entity/Q23038986,,http://www.wikidata.org/entity/Q64746144,160.5501,56.1
