name,country,continent,unesco_id,inception_year,inscription_year,heritage_criteria,official_website,wikidata_item,lon,lat
Fujian Tulou sites,People's Republic of China,Asia,1113,,2008,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q718001,116.975,24.6587
Galápagos Islands,Ecuador,South America,1bis,,1978,http://www.wikidata.org/entity/Q23038981;http://www.wikidata.org/entity/Q23038983;http://www.wikidata.org/entity/Q23038985;http://www.wikidata.org/entity/Q23038986,,http://www.wikidata.org/entity/Q117188122,-90.361243,-0.622977
Gammelstad Church Town,Sweden,Europe,762,,1996,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038979,https://www.lulea.se/engelsk/gammelstadchurchtown.4.28facf8a1537caf5e88111c3.html,http://www.wikidata.org/entity/Q1756286,22.02861,65.64611
Gardens by Burle Marx,Brazil,South America,,,1987,,,http://www.wikidata.org/entity/Q97626864,-47.905869353,-15.815326741
Garrison Border Town of Elvas and its Fortifications,Portugal,Europe,1367bis,,2012,http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q5524023,-7.16333333,38.88055556
Gaya Tumuli,South Korea,Asia,1666,,2023,http://www.wikidata.org/entity/Q23038977,,http://www.wikidata.org/entity/Q66201394,128.873725,35.237263888
"Gochang, Hwasun and Ganghwa Dolmen Sites",South Korea,Asia,977,,2000,http://www.wikidata.org/entity/Q23038977,,http://www.wikidata.org/entity/Q495286,126.92917,34.96667
Golden Mountains of Altai,Russia,Europe,768rev,,1998,http://www.wikidata.org/entity/Q23038986,,http://www.wikidata.org/entity/Q155495,86.0,50.466666666
Golestan Palace,Iran,Asia,1422,,2013,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,https://golestanpalace.ir,http://www.wikidata.org/entity/Q210610,51.420277777,35.679722222
Gonbad-e Qabus,Iran,Asia,1398,,2012,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q606763,55.168991133,37.258121354
Gondwana Rainforests of Australia,Australia,Oceania,368bis,,1986,http://www.wikidata.org/entity/Q23038983;http://www.wikidata.org/entity/Q23038985;http://www.wikidata.org/entity/Q23038986,,http://www.wikidata.org/entity/Q643063,149.6,-29.6
Gorée,Senegal,Africa,26,,1978,http://www.wikidata.org/entity/Q23038980,https://www.iledegoree.org/,http://www.wikidata.org/entity/Q244347,-17.398333333,14.666944444
Great Living Chola Temples,India,Asia,250bis,,1987,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977,https://asi.nic.in/chola-temple-brhadisvara/,http://www.wikidata.org/entity/Q695229,79.1325,10.783055555
Grimeton VLF transmitter,Sweden,Europe,1134,,2004,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,http://www.alexander.n.se,http://www.wikidata.org/entity/Q920206,12.404417,57.113983
Gyeongju Historic Areas,South Korea,Asia,976,,2000,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977,,http://www.wikidata.org/entity/Q495241,129.22666667,35.78888889
Heard Island and McDonald Islands,Australia,Oceania,577rev,1833,1997,http://www.wikidata.org/entity/Q23038983;http://www.wikidata.org/entity/Q23038985,https://www.antarctica.gov.au/antarctic-operations/stations/other-locations/heard-island/,http://www.wikidata.org/entity/Q131198,73.517,-53.093527777
Heritage district of Yazd,Iran,Asia,1544,,2017,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q32979655,54.369583333,31.900555555
